imageid,stimulus_set_id,magnitude,image
0,1,1,stimuli/aadaa.png
1,1,2,stimuli/aadab.png
2,1,3,stimuli/aadac.png
3,1,4,stimuli/aadad.png
4,1,5,stimuli/aadae.png
5,2,1,stimuli/aadaf.png
6,2,2,stimuli/aadag.png
7,2,3,stimuli/aadah.png
8,2,4,stimuli/aadai.png
9,2,5,stimuli/aadaj.png
10,3,1,stimuli/aadak.png
11,3,2,stimuli/aadal.png
12,3,3,stimuli/aadam.png
13,3,4,stimuli/aadan.png
14,3,5,stimuli/aadao.png
15,4,1,stimuli/aadap.png
16,4,2,stimuli/aadaq.png
17,4,3,stimuli/aadar.png
18,4,4,stimuli/aadas.png
19,4,5,stimuli/aadat.png
20,5,1,stimuli/aadau.png
21,5,2,stimuli/aadav.png
22,5,3,stimuli/aadaw.png
23,5,4,stimuli/aadax.png
24,5,5,stimuli/aaday.png
